,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),ROC-AUC
Decision Tree,0.8136680305208448,0.33438985736925514,0.5982986767485823,0.42900711623178583,0.7793129958937659
Random Forest,0.8647572708172067,0.43658724058416604,0.5368620037807184,0.48155998304366254,0.8013265657607067
